id,name,slug,icon,banner_image,display_order,created_at,updated_at
1,Maxis,maxis,fas fa-female,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/categories/1782961890898_IMG_3856.JPG,1,2026-06-29 05:16:40.856263+00,2026-07-03 04:29:53.614197+00
2,Cord sets,cord-sets,fas fa-tshirt,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/categories/1782961912256_IMG-20260629-WA0001.jpg,2,2026-06-29 05:16:40.856263+00,2026-07-03 04:29:53.614197+00
3,Kurti,kurti,fas fa-star,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/categories/1783834907534_IMG_3173.JPG.jpeg,3,2026-06-29 05:16:40.856263+00,2026-07-12 05:41:52.039362+00
4,Kurti sets,kurti-sets,fas fa-glass-cheers,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/categories/1782728565625_upload,4,2026-06-29 05:16:40.856263+00,2026-07-03 04:29:53.614197+00
6,Pure Cotton,pure-cotton,fas fa-leaf,https://embvkfuwevutfwpxemfe.supabase.co/storage/v1/object/public/HOVB/categories/1783146579430_maxi_black_.jpeg,5,2026-06-30 05:05:15.048262+00,2026-07-04 06:29:40.430319+00
